text,label
Your account is blocked pay immediately to this upi,1
Urgent payment required click the link now,1
You have won a lottery claim your prize,1
Verify your bank account immediately,1
Send OTP to continue service,1
Pay the amount to abc@upi to avoid suspension,1
Your KYC is incomplete update now,1
Meeting postponed to tomorrow,0
Can we discuss the project update,0
Happy birthday have a great day,0
Let us catch up this weekend,0
Invoice for last month is attached,0
Please review the document I sent,0
Are you available for a call today,0
